"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,273373,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,60797,3
"2",13,57841,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,12864,0.6
"3",14,20392,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,4535,0.2
"4",15,4692,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,1043,0.1
"5",16,2509,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,558,0
"6",17,124,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,28,0
"7",22,11147,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,2479,0.1
"8",23,2919,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,649,0
"9",24,658,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,146,0
"10",25,185969,278209151,"Developed-Roads",0,0,0,0,0,0,41359,2.1
"11",31,1,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,0,0
"12",32,192,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,43,0
"13",63,3196,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,711,0
"14",64,17073,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,3797,0.2
"15",65,2287,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,509,0
"16",68,396,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,88,0
"17",101,63,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,14,0
"18",102,557,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,124,0
"19",103,3419,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,760,0
